1,China,"1,367,485,388"
2,India,"1,251,695,584"
3,European Union,"513,949,445"
4,United States,"321,368,864"
5,Indonesia,"255,993,674"
6,Brazil,"204,259,812"
7,Pakistan,"199,085,847"
8,Nigeria,"181,562,056"
9,Bangladesh,"168,957,745"
10,Russia,"142,423,773"
11,Japan,"126,919,659"
12,Mexico,"121,736,809"
13,Philippines,"100,998,376"
14,Ethiopia,"99,465,819"
15,Vietnam,"94,348,835"
16,Egypt,"88,487,396"
17,Iran,"81,824,270"
18,Germany,"80,854,408"
19,Turkey,"79,414,269"
20,"Congo, Democratic Republic of the","79,375,136"
21,Thailand,"67,976,405"
22,France,"66,553,766"
23,United Kingdom,"64,088,222"
24,Italy,"61,855,120"
25,Burma,"56,320,206"
26,South Africa,"53,675,563"
27,England,"53,012,456"
28,Tanzania,"51,045,882"
29,"Korea, South","49,115,196"
30,Spain,"48,146,134"
31,Colombia,"46,736,728"
32,Kenya,"45,925,301"
33,Ukraine,"44,429,471"
34,Argentina,"43,431,886"
35,Algeria,"39,542,166"
36,Poland,"38,562,189"
37,Uganda,"37,101,745"
38,Iraq,"37,056,169"
39,Sudan,"36,108,853"
40,Canada,"35,099,836"
41,Morocco,"33,322,699"
42,Afghanistan,"32,564,342"
43,Nepal,"31,551,305"
44,Malaysia,"30,513,848"
45,Peru,"30,444,999"
46,Venezuela,"29,275,460"
47,Uzbekistan,"29,199,942"
48,Saudi Arabia,"27,752,316"
49,Yemen,"26,737,317"
50,Ghana,"26,327,649"
51,Mozambique,"25,303,113"
52,"Korea, North","24,983,205"
53,Madagascar,"23,812,681"
54,Cameroon,"23,739,218"
55,Taiwan,"23,415,126"
56,Cote d'Ivoire,"23,295,302"
57,Australia,"22,751,014"
58,Sri Lanka,"22,053,488"
59,Romania,"21,666,350"
60,Angola,"19,625,353"
61,Burkina Faso,"18,931,686"
62,Kazakhstan,"18,157,122"
63,Niger,"18,045,729"
64,Malawi,"17,964,697"
65,Chile,"17,508,260"
66,Syria,"17,064,854"
67,Mali,"16,955,536"
68,Netherlands,"16,947,904"
69,Ecuador,"15,868,396"
70,Cambodia,"15,708,756"
71,Zambia,"15,066,266"
72,Guatemala,"14,918,999"
73,Zimbabwe,"14,229,541"
74,Senegal,"13,975,834"
75,Rwanda,"12,661,733"
76,South Sudan,"12,042,910"
77,Guinea,"11,780,162"
78,Chad,"11,631,456"
79,Belgium,"11,323,973"
80,Tunisia,"11,037,225"
81,Cuba,"11,031,433"
82,Portugal,"10,825,309"
83,Bolivia,"10,800,882"
84,Greece,"10,775,643"
85,Burundi,"10,742,276"
86,Czech Republic,"10,644,842"
87,Somalia,"10,616,380"
88,Dominican Republic,"10,478,756"
89,Benin,"10,448,647"
90,Haiti,"10,110,019"
91,Hungary,"9,897,541"
92,Sweden,"9,801,616"
93,Azerbaijan,"9,780,780"
94,Belarus,"9,589,689"
95,Honduras,"8,746,673"
96,Austria,"8,665,550"
97,Tajikistan,"8,191,958"
98,Switzerland,"8,121,830"
99,Jordan,"8,117,564"
100,Israel,"8,049,314"
101,Togo,"7,552,318"
102,Bulgaria,"7,186,893"
103,Serbia,"7,176,794"
104,Hong Kong,"7,141,106"
105,Laos,"6,911,544"
106,Paraguay,"6,783,272"
107,Papua New Guinea,"6,672,429"
108,Eritrea,"6,527,689"
109,Libya,"6,411,776"
110,Lebanon,"6,184,701"
111,El Salvador,"6,141,350"
112,Nicaragua,"5,907,881"
113,Sierra Leone,"5,879,098"
114,United Arab Emirates,"5,779,760"
115,Singapore,"5,674,472"
116,Kyrgyzstan,"5,664,939"
117,Denmark,"5,581,503"
118,Finland,"5,476,922"
119,Slovakia,"5,445,027"
120,Central African Republic,"5,391,539"
121,Scotland,"5,295,000"
122,Turkmenistan,"5,231,422"
123,Norway,"5,207,689"
124,Georgia,"4,931,226"
125,Ireland,"4,892,305"
126,Costa Rica,"4,814,144"
127,"Congo, Republic of the","4,755,097"
128,Croatia,"4,464,844"
129,New Zealand,"4,438,393"
130,Liberia,"4,195,666"
131,Bosnia and Herzegovina,"3,867,055"
132,Panama,"3,657,024"
133,Puerto Rico,"3,598,357"
134,Mauritania,"3,596,702"
135,Moldova,"3,546,847"
136,Uruguay,"3,341,893"
137,Oman,"3,286,936"
138,West Indies,"3,264,600"
139,Armenia,"3,056,382"
140,Albania,"3,029,278"
141,Mongolia,"2,992,908"
142,Jamaica,"2,950,210"
143,Lithuania,"2,884,433"
144,Kuwait,"2,788,534"
145,West Bank,"2,785,366"
146,Namibia,"2,212,307"
147,Qatar,"2,194,817"
148,Botswana,"2,182,719"
149,Macedonia,"2,096,015"
150,Latvia,"1,986,705"
151,Slovenia,"1,983,412"
152,"Gambia, The","1,967,709"
153,Lesotho,"1,947,701"
154,Kosovo,"1,870,981"
155,Gaza Strip,"1,869,055"
156,Guinea-Bissau,"1,726,170"
157,Gabon,"1,705,336"
158,Swaziland,"1,435,613"
159,Bahrain,"1,346,613"
160,Mauritius,"1,339,827"
161,Estonia,"1,265,420"
162,Timor-Leste,"1,231,116"
163,Trinidad and Tobago,"1,222,363"
164,Cyprus,"1,189,197"
165,Fiji,"909,389"
166,Djibouti,"828,324"
167,Comoros,"780,971"
168,Bhutan,"741,919"
169,Equatorial Guinea,"740,743"
170,Guyana,"735,222"
171,Montenegro,"647,073"
172,Solomon Islands,"622,469"
173,Macau,"592,731"
174,Suriname,"579,633"
175,Western Sahara,"570,866"
176,Luxembourg,"570,252"
177,Cabo Verde,"545,993"
178,Brunei,"429,646"
179,Malta,"413,965"
180,Maldives,"393,253"
181,Belize,"347,369"
182,Iceland,"331,918"
183,"Bahamas, The","324,597"
184,Barbados,"290,604"
185,French Polynesia,"282,703"
186,Vanuatu,"272,264"
187,New Caledonia,"271,615"
188,Samoa,"197,773"
189,Sao Tome and Principe,"194,006"
190,Saint Lucia,"163,922"
191,Guam,"161,785"
192,Curacao,"146,836"
193,Aruba,"112,162"
194,Grenada,"110,694"
195,Tonga,"106,501"
196,Kiribati,"105,711"
197,"Micronesia, Federated States of","105,216"
198,Virgin Islands,"103,574"
199,Saint Vincent and the Grenadines,"102,627"
200,Jersey,"97,294"
201,Antigua and Barbuda,"92,436"
202,Seychelles,"92,430"
203,Isle of Man,"87,545"
204,Andorra,"85,580"
205,Dominica,"73,607"
206,Marshall Islands,"72,191"
207,Bermuda,"70,196"
208,Guernsey,"66,080"
209,Greenland,"57,733"
210,Cayman Islands,"56,092"
211,American Samoa,"54,343"
212,Northern Mariana Islands,"52,344"
213,Saint Kitts and Nevis,"51,936"
214,Turks and Caicos Islands,"50,280"
215,Faroe Islands,"50,196"
216,Sint Maarten,"39,689"
217,Liechtenstein,"37,624"
218,British Virgin Islands,"33,454"
219,San Marino,"33,020"
220,Saint Martin,"31,754"
221,Monaco,"30,535"
222,Gibraltar,"29,258"
223,Palau,"21,265"
224,Anguilla,"16,418"
225,Wallis and Futuna,"15,613"
226,Tuvalu,"10,869"
227,Cook Islands,"9,838"
228,Nauru,"9,540"
229,"Saint Helena, Ascension, and Tristan da Cunha","7,795"
230,Saint Barthelemy,"7,237"
231,Saint Pierre and Miquelon,"5,657"
232,Montserrat,"5,241"
233,Falkland Islands (Islas Malvinas),"3,361"
234,Norfolk Island,"2,210"
235,Svalbard,"1,872"
236,Christmas Island,"1,530"
237,Tokelau,"1,337"
238,Niue,"1,190"
239,Holy See (Vatican City),842
240,Cocos (Keeling) Islands,596
241,Pitcairn Islands,48
